1, Bar Leone, Hong Kong, 中国
2, Handshake Speakeasy, Mexico City, México
3, Sips, Barcelona, España
4, Paradiso, Barcelona, España
5, Tayēr + Elementary, London, United Kingdom
6, Connaught Bar, London, United Kingdom
7, Moebius Milano, Milan, Italia
8, Line, Athens, Greece
9, Jigger &amp; Pony, Singapore, Singapore
10, Tres Monos, Buenos Aires, Argentina
11, Alquímico, Cartagena, España
12, Superbueno, New York, United States
13, Lady Bee, Lima, Perú
14, Himkok, Oslo, Norge
15, Bar Us, Bangkok, ประเทศไทย
16, Zest, Seoul, 대한민국
17, Bar Nouveau, Paris, France
18, Bar Benfiddich, Tokyo, 日本
19, Caretaker's Cottage, Melbourne, Australia
20, The Cambridge Public House, Paris, France
21, Satan's Whiskers, London, United Kingdom
22, Locale Firenze, Florence, Italia
23, Tlecān, Mexico City, México
24, Tan Tan, São Paulo, Brasil
25, Mirror Bar, Bratislava, Slovensko
26, CoChinChina, Buenos Aires, Argentina
27, Baba au Rum, Athens, Greece
28, Nouvelle Vague, Tirana, Shqipëria
29, Hope &amp; Sesame, Guangzhou, 中国
30, Danico, Paris, France
31, Scarfes Bar, London, United Kingdom
32, Svanen, Oslo, Norge
33, Sastrería Martinez, Lima, Perú
34, Panda &amp; Sons, Edinburgh, United Kingdom
35, Röda Huset, Stockholm, Sverige
36, Mimi Kakushi, Dubai, الإمارات العربية المتحدة
37, Salmon Guru, Madrid, España
38, Coa, Hong Kong, 中国
39, Sip &amp; Guzzle, New York, United States
40, Drink Kong, Rome, Italia
41, Double Chicken Please, New York, United States
42, Maybe Sammy, Sydney, Australia
43, 1930, Milan, Italia
44, Jewel of the South, New Orleans, United States
45, Virtù, Tokyo, 日本
46, Overstory, New York, United States
47, The Bar in Front of the Bar, Athens, Greece
48, The Bellwood, Tokyo, 日本
49, BKK Social Club, Bangkok, ประเทศไทย
50, Nutmeg &amp; Clove, Singapore, Singapore
51, Angelita, Madrid, España
52, Licorería Limantour, Mexico City, México
53, Bar Cham, Seoul, 대한민국
54, Bar Mauro, Mexico City, México
55, Bar Pompette, Toronto, Canada
56, Argo, Hong Kong, 中国
57, Wax On, Berlin, Deutschland
58, Freni e Frizioni, Rome, Italia
59, Schmuck, New York, United States
60, LPM Dubai, Dubai, الإمارات العربية المتحدة
61, Exímia, São Paulo, Brasil
62, Barro Negro, Athens, Greece
63, L'Antiquario, Naples, Italia
64, True Laurel, San Francisco, United States
65, The SG Club, Tokyo, 日本
66, Bird, Copenhagen, Danmark
67, Smoke &amp; Bitters, Hiriketiya, Sri Lanka
68, La Sala de Laura, Bogotá, Colombia
69, Hero Bar, Nairobi, Kenya
70, Gokan, Hong Kong, 中国
71, El Gallo Altanero, Guadalajara, México
72, Attaboy, New York, United States
73, 🔶🟥🔵 A Bar with Shapes For a Name, London, United Kingdom
74, Vender, Taichung, 臺灣
75, Martiny's, New York, United States
76, Tjoget, Stockholm, Sverige
77, Arca, Tulum, México
78, Baltra Bar, Mexico City, México
79, Kwãnt Mayfair, London, United Kingdom
80, Three Sheets Soho, London, United Kingdom
81, Mamba Negra, Medellín, Colombia
82, Café La Trova, Miami, United States
83, Dr. Stravinsky, Barcelona, España
84, Native, Singapore, Singapore
85, Boadas, Barcelona, España
86, The Savory Project, Hong Kong, 中国
87, Victor Audio Bar, Buenos Aires, Argentina
88, Dry Wave Cocktail Studio, Bangkok, ประเทศไทย
89, Foco, Barcelona, España
90, Florería Atlántico, Buenos Aires, Argentina
91, Byrdi, Melbourne, Australia
92, Opium, Bangkok, ประเทศไทย
93, Mírate, Los Angeles, United States
94, Bar Trench, Tokyo, 日本
95, Employees Only, New York, United States
96, Lair, New Delhi, India
97, Kumiko, Chicago, United States
98, Jerry Thomas Speakeasy, Rome, Italia
99, Gucci Giardino`, Florence, Italia
100, Bar Carmen, Medellín, Colombia
